date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
30/09/2018,1538396903,141,253,2,1538255880,1538279640
02/10/2018,1539148718,80,49,0,1538418180,1538425920
07/10/2018,1539148718,136,83,0,1538840040,1538853180
10/10/2018,1539366135,147,172,0,1539091980,1539111120
12/10/2018,1539839260,36,133,0,1539274320,1539284460
20/10/2018,1540178544,30,39,0,1539974160,1539978300
01/11/2018,1542206322,230,147,0,1540989000,1541011620
11/11/2018,1542206325,164,75,0,1541871840,1541886180
18/11/2018,1543205521,53,75,0,1542477660,1542485340
24/11/2018,1543205521,40,42,0,1542996480,1543001400
25/11/2018,1543205521,83,82,0,1543080540,1543090440
26/11/2018,1543287968,25,37,0,1543168980,1543172700
01/01/2019,1550407001,71,53,0,1546275900,1546283340
14/08/2019,1565807610,82,332,0,1565729100,1565753940
15/08/2019,1565901230,60,435,0,1565817360,1565847060
16/08/2019,1565980448,112,275,0,1565902980,1565926200
17/08/2019,1566068691,107,426,0,1565985840,1566017820
18/08/2019,1568109455,119,468,0,1566070860,1566106080
19/08/2019,1568109455,176,249,0,1566160680,1566186180
21/08/2019,1568109455,133,309,0,1566334140,1566360660
23/09/2019,1572518882,364,409,0,1569162840,1569209220
26/09/2019,1572518882,82,94,0,1569442140,1569452700
26/10/2019,1572518918,12,65,0,1572026160,1572030780
27/10/2019,1572518918,56,64,0,1572107700,1572114900
10/11/2019,1574058612,53,878,0,1573320840,1573376700
11/11/2019,1574058612,32,620,0,1573397040,1573436160
16/11/2019,1574058612,742,261,0,1573827240,1573887420
18/11/2019,1574058669,827,254,0,1573993800,1574058660
